设置日期	活动开启日期	提醒内容	排期表活动内容
4月27日	5月4日	本服联盟GVE：设置活动	本服联盟GVE 开S850,截止4月23日开的服【✔】
4月30日	5月4日	设置活动	延长功勋商店 848【✔】
4月30日	5月4日	设置活动	开服满15d的服 惊喜转盘3.0 （三代蚂蚁+觉醒）+配套礼包 1-850 截止04.19开的服【✔】
4月30日	5月4日	设置活动	"进化连冲-赛季服&7充5
非赛季服兵种改造；截止4.4的服1~848【✔】"
4月30日	5月4日	设置活动	特化蚁对决1-848，截至4.4 服务器848，取到848【✔】
4月30日	5月4日	设置活动	联盟远征（截止4月6号开的服，S1-S848）【✔】
4月30日	5月5日	设置活动	"双倍券BP活动1~834
通用包装
（开过赛季预告的服务器）【✔】"
4月30日	5月5日	设置活动	主题活动3旱季来临（截止4月19日开的服） 1-850【✔】
4月30日	5月9日	设置活动	VIP商店S1-S849【✔】
4月30日	5月11日	本服联盟GVE：设置活动	本服联盟GVE 开S851,截止4月30日开的服【✔】
5月2日	5月4日	跨服联盟GVE：设置活动	跨服联盟GVE 开S849,截止4月16日开的服【✔】
5月3日	5月4日	设置活动	世界BOSS【1-824，205-751】【✔】
5月8日	5月9日	设置活动	"战斗礼包
31328: 最强限定：战斗特供【✔】"
5月8日	5月9日	设置活动	"1000252: 无限寻宝，赛季服 1～834【✔】
32134: 无限寻宝礼包第二期"
5月8日	5月10日	设置活动	土拨鼠【✔】、罩子【✔】、邮件【✔】
5月9日	5月11日	设置活动	野怪孵化周（1&2&3代&4代碎片宝箱），截止0411的服（开服≥31天（也就是满30天，第31天）的服务器开启）1~849【✔】
5月9日	5月11日	设置活动	蚂蚁寻宝;【1-834，205-751】【✔】
5月9日	5月11日	跨服联盟GVE：设置活动	跨服联盟GVE 开S850,截止4月23日开的服【✔】
5月10日	5月11日	设置活动	世界BOSS【1-824，205-751】【✔】
5月11日	5月11日	设置活动	延长功勋商店 849【✔】
5月11日	5月11日	设置活动	联盟远征（截止4月13号开的服，S1-S849）【✔】
5月11日	5月12日	设置活动	"7星兰花诡叶螳 标头展示活动;1~851【✔】
强力野怪——{name}"
5月11日	5月12日	设置活动	"蚁群派对1~851，截止0427服务器 【✔】
幻彩蜂蚁
7星兰花诡叶螳、
硬树枝"
5月11日	5月12日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】【✔】
5月11日	5月12日	设置活动	主题活动4回归自然（截止4月26日开的服） 1-851【✔】
5月11日	5月13日	设置活动	"黑骑士
客户端S1-S849
小程序S205-S751【✔】"
5月11日	5月16日	设置活动	VIP商店S1-S850【✔】
5月11日	5月18日	本服联盟GVE：设置活动	本服联盟GVE 开S852,截止5月7日开的服【✔】
5月15日	5月17日	设置活动	"土拨鼠
（32364: 火力全开：进攻土拨鼠（26/6/30版本））
1~850【✔】"
5月15日	5月17日	设置活动	兑换多一天
5月15日	5月18日	设置活动	自选周卡 赛季服 1-834【✔】
5月15日	5月18日	设置活动	蚁群狂欢 1~852 开服满15d，截止0503开的服【✔】
5月15日	5月18日	设置活动	新野怪连储&7充5；截止4.18的服 1~850【✔】
5月15日	5月18日	设置活动	礼包【✔】+分组预设【✔】+活动确认【✔】
5月16日	5月18日	跨服联盟GVE：设置活动	"1000905：国服-拯救蚜虫-跨服
通服跨服联盟GVE S851，截止4月30日开的服+
S1-S849【✔】"
5月18日	5月18日	设置活动	延长功勋商店 850【✔】
5月18日	5月18日	设置活动	联盟远征（截止4月20号开的服，S1-S850）【✔】
5月18日	5月19日	设置活动	主题活动1万物新生（截止5月3日开的服) 1-852【✔】
5月18日	5月19日	设置活动	这轮不开，等0602版本改竞技场规则
5月18日	5月23日	设置活动	VIP商店S1-S851【✔】
5月18日	5月25日	区域迁徙：设置礼包+分组	区域迁徙 S845~S849【✔】
5月18日	5月25日	本服联盟GVE：设置活动	本服联盟GVE 开S853,截止5月14日开的服【✔】
5月19日	5月20日	设置活动	活动预设【✔】+公布分组【✔】
5月20日	5月25日	区域迁徙：设置活动+公布分组	区域迁徙 S845~S849【✔】
5月21日	5月22日	设置活动	"蜂群宝藏 1~846，截止3月23日开的服
长足虎蚁、铁喙象蚁、黑棘绒蚁、银环晶蚁、璀璨猛蚁，兵种改造宝箱*2
【✔】"
5月22日	5月23日	设置活动	"战斗礼包
31328: 最强限定：战斗特供【✔】"
5月22日	5月24日	设置活动	土拨鼠【✔】、罩子【✔】、邮件【✔】
5月23日	5月25日	跨服联盟GVE：设置活动	跨服联盟GVE 开S852,截止5月7日开的服【✔】
5月24日	5月25日	设置活动	世界BOSS【1-834，205-751】【✔】
5月25日	5月25日	设置活动	延长功勋商店 851【✔】
